페이지,URL,No.,위반 표현 (원문),위반 유형,관련 법령,위반 사유,수정 제안
오블리브 복합치료,obliv.kr/rehab/obliv-complex,1,"일반 통증치료: 통증 개선되나 단기간 내 재발",타 치료법 비방·비교,의료법 제56조 제2항 제6호,다른 치료법(일반 통증치료)을 부정적으로 묘사하며 비교표로 자원 우월성을 주장,비교표 삭제. 자원 치료의 특징만 단독으로 기술
오블리브 복합치료,obliv.kr/rehab/obliv-complex,2,"일반 통증치료: 주사·약물 의존도 높음",타 치료법 비방·비교,의료법 제56조 제2항 제6호,일반 통증치료를 폄하하는 내용으로 타 치료법 비방,삭제
오블리브 복합치료,obliv.kr/rehab/obliv-complex,3,"일반 통증치료: 일시적 통증 완화에만 그침",타 치료법 비방·비교,의료법 제56조 제2항 제6호,일반 치료법을 '일시적'으로 한정하며 비방,삭제
오블리브 복합치료,obliv.kr/rehab/obliv-complex,4,"3개월 이상 지속된 통증·석회화·염증에 효과",치료 효과 단정,의료법 제56조 제2항 제2호,특정 질환에 대한 치료 효과를 단정적으로 표현,「~에 도움이 될 수 있습니다」로 변경
오블리브 복합치료,obliv.kr/rehab/obliv-complex,5,"치료 시간은 짧게·회복은 빠르게. 오랜 지속 효과",치료 효과 단정,의료법 제56조 제2항 제2호,빠른 회복과 오랜 지속 효과를 보장하는 단정 표현,「치료 시간이 짧은 편이며 지속적인 회복 관리 효과를 기대할 수 있습니다」로 변경
오블리브 복합치료,obliv.kr/rehab/obliv-complex,6,"재발률 감소 (복합치료 주요 기대 효과 항목)",치료 효과 단정,의료법 제56조 제2항 제2호,재발률 감소 효과를 임상적 근거 없이 단정,「재발 예방에 도움이 될 수 있습니다」또는 근거 문헌 인용 후 명시
오블리브 복합치료,obliv.kr/rehab/obliv-complex,7,"근본적인 통증을 개선하고 자생회복력을 도우며 몸의 이완과 재생까지 유도하는 회복 메커니즘 완성",치료 효과 단정·과장,의료법 제56조 제2항 제2호,「완성」이라는 확정적 표현으로 치료 효과를 보장,「~을 목표로 합니다」또는 「~을 기대할 수 있습니다」로 변경
ESWT 충격파치료,obliv.kr/rehab/eswt,1,"근본적인 통증을 완화하는 비침습 치료",치료 효과 단정,의료법 제56조 제2항 제2호,「근본적인」통증 완화를 단정적으로 기술,「통증 완화에 도움을 줄 수 있는 비침습 치료」로 변경
ESWT 충격파치료,obliv.kr/rehab/eswt,2,"안정적·효과적이며 부작용 위험이 매우 낮은 치료",효과 과장·부작용 정보 축소,의료법 제56조 제2항 제2호,「효과적」이라는 단정 표현 + 「부작용 매우 낮음」단정으로 부작용 정보 축소,참고 문헌 출처를 명시하고 「연구에 따르면 ~한 것으로 보고되어 있습니다」로 변경
ESWT 충격파치료,obliv.kr/rehab/eswt,3,"소염제·국소 주사치료·재활치료 등으로도 호전되지 않던 관절·힘줄·인대 등의 손상을 회복시키는 기술입니다",타 치료법 비교·효과 단정,의료법 제56조 제2항 제6호,타 치료법(소염제·주사·재활치료)이 효과 없는 경우도 치료된다고 단정하며 우월성 주장,삭제 또는 「기존 치료에 반응이 적은 경우 대안으로 고려할 수 있습니다」수준으로 완화
ESWT 충격파치료,obliv.kr/rehab/eswt,4,"대부분의 환자분들은 치료 후 통증이 감소하거나 사라지는 것을 경험합니다",치료 효과 단정,의료법 제56조 제2항 제2호,「대부분」이라는 표현으로 치료 효과를 사실상 보장,삭제하거나 인용 논문 명시 후 「~으로 보고된 바 있습니다」로 변경
